POS	pi	h	depth
44	0	NA	13
434	0.35777777777777786	0.5392763414970504	100
670	0.028568449588155586	0.07531075903304427	139
853	0.09508196721311483	0.1960946596209072	61
897	0	NA	61
1170	0	NA	9
1628	0.39298245614035093	0.5799151714181009	210
2129	0.2931391797556718	0.5657600058668382	192
2789	0.4349067234255666	0.6256326792982525	490
2790	0.1050505050505051	NA	55
2904	0.16193503335018905	0.35368663791941224	763
2983	0.05923005063147408	0.1364676164491055	623
3036	0.32265265180413105	0.5029690859349616	753
3037	0.004454342984409735	0.01582607678030915	449
3431	0	NA	22
3565	0.06553672316384189	0.1461447460085638	60
4184	0	NA	14
4319	0.22454728370221336	0.38018194649453163	71
4321	0.4045977011494254	0.5799151714181009	30
4534	0.12960751532521284	0.2515188907870799	159
6139	0.21511307225592938	0.3701435561873807	148
6153	0.3144851160803304	0.4909403557394057	119
6183	0.11166500498504478	NA	119
6330	0.18979266347687399	0.336495757583516	133
6434	0.25929210674836733	0.4259885449144807	158
6589	0.10896285961065721	0.2199521664955118	174
6682	0.2025727826675694	0.35427233593977075	211
6696	0.13396775046259574	0.25825717254462843	195
7288	0.4571428571428571	0.6365141682948128	36
7696	0.19611252801607537	0.34578111418607305	228
7793	0.16709359605911317	0.3058306155872094	175
7842	0	NA	163
7889	0.3637585697002286	0.5475903892013768	173
8029	0.5007838745800673	0.8481266530059096	95
8084	0.18573667711598743	0.3300481606041079	88
8293	0	NA	58
8376	0.2895886003217651	0.46321823058118344	229
8393	0.010638297872340607	0.03315839180969552	188
8464	0.12449799196787166	0.24386886592723422	166
8481	0.1683513419309864	0.30738176317319826	152
8547	0.24935064935064938	0.410116318288409	56
9314	0.26124818577648756	0.4243420197199883	53
9344	0	NA	27
9424	0	NA	9
9877	0.40444444444444444	0.5908422462755826	126
10029	0	NA	62
10065	0.30342052313883294	0.4760596480456492	71
10198	0	NA	149
10273	0.15834153543307086	0.2930365266374333	128
10386	0.22197225346831645	0.37868100849398034	127
10396	0.2637197664720601	0.4305132774996119	110
10857	0.30394530693633387	0.4787041747189993	119
10871	0.2764517716535433	0.4463454476726184	128
11041	0.15287356321839088	0.2854557158623037	145
11042	0.20740740740740743	0.45605019839941274	81
11062	0.14311270125223596	0.2711893730418441	130
11074	0.5408792440743113	0.8920083143424287	224
11179	0.14258911819887415	0.2711893730418441	247
11201	0.10229063143861357	0.20958905414663884	223
11287	0.5015760161156535	0.6929995604902013	291
11288	0.5714285714285716	NA	7
11291	0.6	0.6931471805599453	6
11296	0	NA	3
11540	0.18287993163367036	0.32692546718816834	119
11727	0	NA	128
11795	0.1272101557424543	0.2485584747834778	338
11812	0.09744299555620303	0.20207129599101317	371
11845	0.3939838362405217	0.5820543419779424	439
11905	0.24976348155156095	0.4151690147186418	302
11990	0.3892755673006539	0.576872629773745	402
12789	0.004938271604938281	0.01729049748603385	405
12880	0	NA	6
13077	0.16053511705685636	0.2954391918721161	92
13080	0.22529441884280582	0.38061317843558684	63
13123	0.20376175548589334	0.3540511393449268	88
13225	0.3667721518987343	0.5481810556897022	80
13339	0	NA	9
14189	0.12373649355176017	0.24260885565338502	152
14408	0	NA	5
14432	0.1846659743856006	0.3291329593870881	108
14703	0.33282130056323617	0.5090792991152266	63
14946	0.16862675219767162	0.30803579281249766	184
15032	0.07466332602568114	0.163821527233816	310
15061	0.08282253054462638	0.17792753694765925	440
15157	0.22252680803031533	0.3798377290853588	158
