POS	pi	h	depth
44	0	NA	12
323	0.11539416511483544	0.23001390187475762	180
347	0.2223439211391019	0.37969041580729523	166
391	0.15711506808319603	0.29168291118363754	164
434	0.2168937956414239	0.3728494664292445	187
670	0	NA	221
672	0.1773413347881434	0.32038271756187353	235
832	0.2989898989898991	0.46800704307532004	45
897	0	NA	47
949	0.35703918722786626	0.5349082431307516	53
1577	0.17050557728523819	0.30992586778595255	118
1628	0.4001668230632885	0.5865930247093258	139
2129	0.3136669156086631	0.4895518936229288	104
2317	0.3682057276446522	0.5479338056976176	59
2736	0.14364128885086963	0.27232567720395406	168
2789	0.47338350055741363	0.6639699041842487	208
2790	0	NA	22
2904	0.1534508076358298	0.2868359830561607	228
3036	0.376595744680851	0.5623351446188083	236
3037	0	NA	116
3431	0	NA	5
3565	0.08695652173913034	0.17884491271684755	23
3752	0.43304843304843305	0.6076934238709566	27
4184	0.05405405405405399	0.12425083738963087	37
4319	0.2028169014084506	0.35207396019476256	71
4321	0.30229419703103927	0.47061498118148126	39
4376	0.22529441884280582	0.38061317843558684	63
5796	0.18648018648018644	0.3306806308319787	78
6139	0.355367530407192	0.5341593666871499	62
6153	0.3913347309573726	0.5722806988018472	54
6183	0	NA	53
6268	0.13902439024390245	0.2617644829090154	41
6589	0.17351598173515972	0.31449220128141064	147
6682	0.3738549914609533	0.5574651697742553	114
7288	0.49445865302642794	0.6803853852615318	69
7432	0.19975031210986266	0.34883209584303193	90
7793	0.23130755064456718	0.39129325575181995	181
7824	0.16814360372642576	0.30719701348392686	163
7842	0	NA	162
7879	0.2782874617737004	0.4480918571358931	109
7889	0.3992258064516128	0.5852379538624384	125
8029	0.5135802469135801	0.8700292288658477	81
8084	0.3057692307692308	0.4783203281153531	65
8234	0.3368794326241135	0.5117400734174093	48
8236	0.26376811594202887	0.42646149991423843	46
8293	0	NA	45
8376	0.408743169398907	0.5917104093969314	61
8393	0	NA	45
8412	0.2590194264569844	0.42085932068995974	47
9344	0	NA	12
9424	0	NA	12
10029	0	NA	20
10198	0	NA	63
10386	0.34285714285714286	0.5195798391305154	56
10396	0.3947368421052632	0.5763341277567499	57
10857	0.45773195876288647	0.8031582764691889	195
10871	0.28231132075471693	0.4538986312612635	160
11041	0.17873230373230362	0.32114154806519024	112
11042	0.1486671223513329	NA	77
11074	0.5815435139573072	1.0817347359997806	175
11095	0.24164759725400453	0.40338182645750303	115
