start	center	end	avg_pi	avg_h	avg_depth	cov_bin	avg_pi_z
0	500	1000	0.0013282895007039027	0.0022208411330653117	137	(117,150]	-0.8372774513304795
100	600	1100	0.0016632643504155941	0.00283016707788553	137.5	(117,150]	-0.565378785773028
200	700	1200	0.0016632643504155941	0.00283016707788553	137.5	(117,150]	-0.565378785773028
300	800	1300	0.0016632643504155941	0.00283016707788553	137.5	(117,150]	-0.565378785773028
400	900	1400	0.0020806030600930138	0.0034242971006103683	127.9090909090909	(117,150]	-0.22662547833987443
500	1000	1500	0.0018253860574281742	0.003010954658475072	111.4	(84.7,117]	-0.2636599179593806
600	1100	1600	0.0018253860574281742	0.003010954658475072	111.4	(84.7,117]	-0.2636599179593806
700	1200	1700	0.001963602459429632	0.003087058725677234	91.25	(84.7,117]	-0.14571289509191349
800	1300	1800	0.001963602459429632	0.003087058725677234	91.25	(84.7,117]	-0.14571289509191349
900	1400	1900	0.00217898941165869	0.0033394511318757974	86.28571428571429	(84.7,117]	0.03808764820139836
1000	1500	2000	0.0019504905224171792	0.002952238756689436	77.66666666666667	(52.2,84.7]	0.4625363796598679
1100	1600	2100	0.0016155156727054873	0.002342912811869218	78	(52.2,84.7]	0.06994710620515923
1200	1700	2200	0.0018687143259041407	0.0027576556404869355	73.4	(52.2,84.7]	0.36669498260401395
1300	1800	2300	0.0018687143259041407	0.0027576556404869355	73.4	(52.2,84.7]	0.36669498260401395
1400	1900	2400	0.0018531673295525892	0.002750414521933486	86	(84.7,117]	-0.23995275809197833
1500	2000	2500	0.0014674279958296203	0.0021834719408910996	92.75	(84.7,117]	-0.5691235754239523
1600	2100	2600	0.0014674279958296203	0.0021834719408910996	92.75	(84.7,117]	-0.5691235754239523
1700	2200	2700	0.0010590307705649253	0.0015875843510926573	68.33333333333333	(52.2,84.7]	-0.582251121834683
1800	2300	2800	0.0016465513270147482	0.00247943343847646	113.83333333333333	(84.7,117]	-0.41626860789870634
1900	2400	2900	0.0017079202883837094	0.00265799068609806	120.71428571428571	(117,150]	-0.5291316169088663
2000	2500	3000	0.002036560596966159	0.003251026486872676	143.875	(117,150]	-0.26237469044449024
2100	2600	3100	0.0024588338812798843	0.003862551287882595	150.6	(150,182]	-0.043389016711584634
2200	2700	3200	0.002205635228081231	0.0034478084592648776	161.22222222222223	(150,182]	-0.3161252052783202
2300	2800	3300	0.002205635228081231	0.0034478084592648776	161.22222222222223	(150,182]	-0.3161252052783202
2400	2900	3400	0.0018038435147553632	0.0028609195550934885	169.5	(150,182]	-0.7489203213100771
2500	3000	3500	0.0018038435147553632	0.0028609195550934885	151.55555555555554	(150,182]	-0.7489203213100771
2600	3100	3600	0.0018807665916784403	0.0030239431845878544	139	(117,150]	-0.3888324892196524
2700	3200	3700	0.0018807665916784403	0.0030239431845878544	139	(117,150]	-0.3888324892196524
2800	3300	3800	0.001293246035228617	0.0021320940972040514	130.28571428571428	(117,150]	-0.8657221883232408
2900	3400	3900	0.0014070237947510576	0.002281485176481265	115.42857142857143	(84.7,117]	-0.6206695249837533
3000	3500	4000	0.0010783834861686082	0.0016884493757066492	83.66666666666667	(52.2,84.7]	-0.5595698113877503
3100	3600	4100	6.561102018548827e-4	0.0010769245746967305	36.75	(19.4,52.2]	-0.7040425689788395
3200	3700	4200	6.561102018548827e-4	0.0010769245746967305	35.6	(19.4,52.2]	-0.7040425689788395
3300	3800	4300	6.561102018548827e-4	0.0010769245746967305	35.6	(19.4,52.2]	-0.7040425689788395
3400	3900	4400	0.00124803734858387	0.0019955429340792674	48.714285714285715	(19.4,52.2]	-0.38772247484646266
3500	4000	4500	0.00124803734858387	0.0019955429340792674	55.5	(52.2,84.7]	-0.36073611792772475
3600	4100	4600	0.0013673826095044047	0.002177450481537783	71	(52.2,84.7]	-0.2208639176255776
3700	4200	4700	0.0013673826095044047	0.002177450481537783	71	(52.2,84.7]	-0.2208639176255776
3800	4300	4800	0.0017013209035152941	0.0026872661811194716	69.14285714285714	(52.2,84.7]	0.17051051641708673
3900	4400	4900	0.001242894738054125	0.0020114749758630697	87.83333333333333	(84.7,117]	-0.7607291222755763
4000	4500	5000	0.001242894738054125	0.0020114749758630697	87.83333333333333	(84.7,117]	-0.7607291222755763
4100	4600	5100	0.001242894738054125	0.0020114749758630697	87.83333333333333	(84.7,117]	-0.7607291222755763
4200	4700	5200	0.001242894738054125	0.0020114749758630697	99.2	(84.7,117]	-0.7607291222755763
4300	4800	5300	0.001242894738054125	0.0020114749758630697	99.2	(84.7,117]	-0.7607291222755763
4400	4900	5400	6.50967591325138e-4	0.001092856616480533	111	(84.7,117]	-1.2658503937031313
4500	5000	5500	6.50967591325138e-4	0.001092856616480533	111	(84.7,117]	-1.2658503937031313
4600	5100	5600	4.5469925348152606e-4	7.479254395276516e-4	107	(84.7,117]	-1.4333360596341262
4700	5200	5700	4.5469925348152606e-4	7.479254395276516e-4	107	(84.7,117]	-1.4333360596341262
4800	5300	5800	3.272562519703724e-4	5.968707655865458e-4	147	(117,150]	-1.6498148843453724
4900	5400	5900	4.7389782460814986e-4	8.736347616870946e-4	139.33333333333334	(117,150]	-1.530786103677884
5000	5500	6000	4.7389782460814986e-4	8.736347616870946e-4	139.33333333333334	(117,150]	-1.530786103677884
5100	5600	6100	6.606794338035521e-4	0.001206228975998987	140.75	(117,150]	-1.3791757056596032
5200	5700	6200	0.001415789245029072	0.002437439663351161	160.625	(150,182]	-1.16691797313471
5300	5800	6300	0.001415789245029072	0.002437439663351161	160.625	(150,182]	-1.16691797313471
5400	5900	6400	0.001415789245029072	0.002437439663351161	160.625	(150,182]	-1.16691797313471
5500	6000	6500	0.0015935198356063778	0.0027585092176321594	173.33333333333334	(150,182]	-0.9754731796754881
5600	6100	6600	0.002359229202593529	0.004154662764443616	206.35714285714286	(182,215]	-0.1675909100865255
5700	6200	6700	0.003290884168688019	0.005675478134683547	193.44444444444446	(182,215]	0.8682909311472402
5800	6300	6800	0.0030843888761882834	0.005316717109042964	196.7058823529412	(182,215]	0.6386944264482715
5900	6400	6900	0.0028169863440798684	0.004801843372996452	204.26666666666668	(182,215]	0.34137681704163353
6000	6500	7000	0.0028169863440798684	0.004801843372996452	204.26666666666668	(182,215]	0.34137681704163353
